date,value
2017-01-23,104.010002
2017-01-24,104.709999
2017-01-25,104.610001
2017-01-26,104.139999
2017-01-27,103.480003
2017-01-30,103.690002
2017-01-31,103.779999
2017-02-01,103.010002
2017-02-02,104.029999
2017-02-03,105.110001
2017-02-06,104.57
2017-02-07,105.610001
2017-02-08,105.690002
2017-02-09,105.970001
2017-02-10,106.099998
2017-02-13,106.519997
2017-02-14,106.919998
2017-02-15,106.730003
2017-02-16,108.120003
2017-02-17,108.150002
2017-02-21,109.360001
2017-02-22,109.410004
2017-02-23,109.540001
2017-02-24,109.830002
2017-02-27,109.269997
2017-02-28,110.379997
2017-03-01,109.730003
2017-03-02,110.110001
2017-03-03,110.559998
2017-03-06,109.629997
2017-03-07,109.32
2017-03-08,109.300003
2017-03-09,109.019997
2017-03-10,109.589996
2017-03-13,109.410004
2017-03-14,109.339996
2017-03-15,111.110001
2017-03-16,111.139999
2017-03-17,111.389999
2017-03-20,111.150002
2017-03-21,111.769997
2017-03-22,112.019997
2017-03-23,111.779999
2017-03-24,112.120003
2017-03-27,111.830002
2017-03-28,112.449997
2017-03-29,112.43
2017-03-30,112.18
2017-03-31,111.860001
2017-04-03,111.860001
2017-04-04,112.080002
2017-04-05,111.940002
2017-04-06,111.580002
2017-04-07,111.610001
2017-04-10,112.019997
2017-04-11,111.730003
2017-04-12,113.610001
2017-04-13,112.68
2017-04-17,113.32
2017-04-18,114.279999
2017-04-19,113.620003
2017-04-20,113.589996
2017-04-21,113.43
2017-04-24,114.32
2017-04-25,114.160004
2017-04-26,113.330002
2017-04-27,112.639999
2017-04-28,113.279999
2017-05-01,112.279999
2017-05-02,112.290001
2017-05-03,111.790001
2017-05-04,112.959999
2017-05-05,113.220001
2017-05-08,113.220001
2017-05-09,112.720001
2017-05-10,112.839996
2017-05-11,113.040001
2017-05-12,112.910004
2017-05-15,113.940002
2017-05-16,113.790001
2017-05-17,113.739998
2017-05-18,114.029999
2017-05-19,113.690002
2017-05-22,114.699997
2017-05-23,115.050003
2017-05-24,116.059998
2017-05-25,117.529999
2017-05-26,117.910004
2017-05-30,118.010002
2017-05-31,116.870003
2017-06-01,117.230003
2017-06-02,117.669998
2017-06-05,117.879997
2017-06-06,117.699997
2017-06-07,117.050003
2017-06-08,115.889999
2017-06-09,115.940002
2017-06-12,116.230003
2017-06-13,116.32
2017-06-14,117.370003
2017-06-15,117.209999
2017-06-16,116.860001
2017-06-19,117.290001
2017-06-20,117.949997
2017-06-21,117.419998
2017-06-22,116.150002
2017-06-23,116.959999
2017-06-26,117.120003
2017-06-27,115.940002
2017-06-28,116.379997
2017-06-29,115.18
2017-06-30,115.489998
2017-07-03,115.440002
2017-07-05,115.300003
2017-07-06,115.129997
2017-07-07,115.510002
2017-07-10,114.269997
2017-07-11,113.739998
2017-07-12,114.769997
2017-07-13,114.019997
2017-07-14,114.93
2017-07-17,114.93
2017-07-18,115.010002
2017-07-19,115.339996
2017-07-20,115.510002
