pop,state,year
694,California,2010
307,Florida,2010
207,New York,2010
441,Arizona,2010
415,Hawaii,2010
943,Texas,2010
90,Utah,2010
198,Wisconsin,2010
217,Illinois,2010
374,Washington,2010
196,California,2011
543,Florida,2011
185,New York,2011
536,Arizona,2011
57,Hawaii,2011
231,Texas,2011
923,Utah,2011
82,Wisconsin,2011
184,Illinois,2011
493,Washington,2011
941,California,2012
756,Florida,2012
403,New York,2012
585,Arizona,2012
108,Hawaii,2012
544,Texas,2012
417,Utah,2012
462,Wisconsin,2012
254,Illinois,2012
812,Washington,2012
400,California,2013
743,Florida,2013
348,New York,2013
595,Arizona,2013
153,Hawaii,2013
639,Texas,2013
841,Utah,2013
427,Wisconsin,2013
399,Illinois,2013
324,Washington,2013
371,California,2014
310,Florida,2014
734,New York,2014
609,Arizona,2014
477,Hawaii,2014
491,Texas,2014
427,Utah,2014
642,Wisconsin,2014
477,Illinois,2014
828,Washington,2014
17,California,2015
397,Florida,2015
549,New York,2015
557,Arizona,2015
484,Hawaii,2015
616,Texas,2015
628,Utah,2015
557,Wisconsin,2015
201,Illinois,2015
653,Washington,2015
197,California,2016
780,Florida,2016
298,New York,2016
849,Arizona,2016
379,Hawaii,2016
416,Texas,2016
775,Utah,2016
451,Wisconsin,2016
735,Illinois,2016
119,Washington,2016
571,California,2017
800,Florida,2017
324,New York,2017
202,Arizona,2017
231,Hawaii,2017
141,Texas,2017
216,Utah,2017
309,Wisconsin,2017
744,Illinois,2017
157,Washington,2017
101,California,2018
422,Florida,2018
325,New York,2018
337,Arizona,2018
752,Hawaii,2018
741,Texas,2018
894,Utah,2018
801,Wisconsin,2018
267,Illinois,2018
801,Washington,2018
442,California,2019
54,Florida,2019
624,New York,2019
344,Arizona,2019
854,Hawaii,2019
937,Texas,2019
795,Utah,2019
373,Wisconsin,2019
6,Illinois,2019
46,Washington,2019
