year,state,population
2010,Washington,4379894
2010,Utah,2592680
2010,Texas,18705702
2010,Pennsylvania,5603365
2010,New York,12308878
2010,Massachusetts,3470784
2010,Hawaii,339121
2010,California,31048333
2010,Arizona,5046596
2011,Washington,4436211
2011,Utah,2629516
2011,Texas,19002319
2011,Pennsylvania,5615192
2011,New York,12393577
2011,Massachusetts,3495713
2011,Hawaii,343059
2011,California,31328706
2011,Arizona,5103838
2012,Washington,4488735
2012,Utah,2666626
2012,Texas,19328549
2012,Pennsylvania,5623812
2012,New York,12466778
2012,Massachusetts,3525710
2012,Hawaii,346845
2012,California,31599620
2012,Arizona,5176027
2013,Washington,4539056
2013,Utah,2708744
2013,Texas,19614696
2013,Pennsylvania,5623424
2013,New York,12517095
2013,Massachusetts,3553476
2013,Hawaii,349237
2013,California,31877390
2013,Arizona,5245723
2014,Washington,4602232
2014,Utah,2745602
2014,Texas,19952516
2014,Pennsylvania,5622224
2014,New York,12548560
2014,Massachusetts,3581726
2014,Hawaii,349561
2014,California,32167450
2014,Arizona,5329625
2015,Washington,4679169
2015,Utah,2787537
2015,Texas,20309594
2015,Pennsylvania,5614810
2015,New York,12565866
2015,Massachusetts,3597217
2015,Hawaii,351571
2015,California,32446378
2015,Arizona,5417262
2016,Washington,4765600
2016,Utah,2845630
2016,Texas,20618025
2016,Pennsylvania,5608002
2016,New York,12559976
2016,Massachusetts,3612685
2016,Hawaii,351747
2016,California,32665279
2016,Arizona,5511558
2017,Washington,4848947
2017,Utah,2902310
2017,Texas,20881480
2017,Pennsylvania,5600312
2017,New York,12520833
2017,Massachusetts,3629751
2017,Hawaii,349750
2017,California,32828796
2017,Arizona,5598109
2018,Washington,4911679
2018,Utah,2951724
2018,Texas,21105825
2018,Pennsylvania,5595890
2018,New York,12466936
2018,Massachusetts,3638562
2018,Hawaii,346945
2018,California,32921198
2018,Arizona,5693913
2019,Washington,4972528
2019,Utah,3001430
2019,Texas,21349789
2019,Pennsylvania,5586259
2019,New York,12405367
2019,Massachusetts,3638777
2019,Hawaii,345064
2019,California,32967626
2019,Arizona,5793426
